iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude,u10_t,v10_t,uo_t,vo_t
A64,2020-03-28,-69.7576,-61.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.99838,0.05695,4.97,0.0243,0.0645,0.3148,-1.1493,0.0498,0.0425
A64,2020-03-29,-69.7333,-60.95,0.0243,0.0645,0.1529,42.61,0.0,0.0,0.99921,0.03977,5.114,0.0,0.0,-1.0408,0.5435,0.0379,0.0361
A64,2020-03-30,-69.7333,-60.95,0.0,0.0,0.0,0.0,0.0,0.0,0.99975,0.02258,5.179,0.0,0.0,-1.971,7.5225,0.0346,0.041
A64,2020-03-31,-69.7333,-60.95,0.0,0.0,0.0,0.0,0.0,0.0,0.99999,0.00538,5.304,0.0,0.0,-1.2903,8.2344,0.0327,0.0493
A68A,2020-01-01,-64.042,-54.5869,0.0698,0.1658,0.4662,46.15,0.0,0.0,0.0172,0.99985,6.285,0.0509,0.2707,3.5106,0.4199,0.008,0.0779
A68A,2020-01-02,-63.9911,-54.3162,0.0509,0.2707,0.5979,66.89,0.0,0.0,0.0344,0.99941,6.129,0.0435,0.1731,0.1178,-5.2844,0.1062,0.0005
A68A,2020-01-03,-63.9476,-54.1431,0.0435,0.1731,0.4056,60.28,82.0,26.0,0.05158,0.99867,5.967,0.0142,0.196,1.8878,2.9773,-0.0049,0.0445
A68A,2020-01-04,-63.9334,-53.9471,0.0142,0.196,0.4043,80.72,0.0,0.0,0.06876,0.99763,5.876,0.0,0.0,0.2947,-0.1033,0.0188,0.0021
A68A,2020-01-05,-63.9334,-53.9471,0.0,0.0,0.0,0.0,0.0,0.0,0.08591,0.9963,5.774,-0.021,0.0853,2.4558,-7.1419,0.1612,0.0166
A68A,2020-01-06,-63.9544,-53.8618,-0.021,0.0853,0.199,119.31,0.0,0.0,0.10303,0.99468,5.734,0.0,0.0,4.4029,-8.1245,0.1721,0.0544
